cum	dayOffset	fromHour	max	mean	min	region	timestamp	toHour	weatherParam
-1.0	0	0	278.960205078	277.80065918	276.641113281	0	2017-11-01	6	2t
-1.0	0	6	285.279785156	282.785481771	278.960205078	0	2017-11-01	12	2t
-1.0	0	6	285.279785156	282.587304688	278.960205078	0	2017-11-01	18	2t
-1.0	0	12	285.279785156	283.286621094	281.368164062	0	2017-11-01	18	2t
-1.0	0	0	276.0625	274.747192383	273.431884766	1	2017-11-01	6	2t
-1.0	0	6	285.381347656	280.137451172	273.431884766	1	2017-11-01	12	2t
-1.0	0	6	285.381347656	280.660644531	273.431884766	1	2017-11-01	18	2t
-1.0	0	12	285.381347656	282.757405599	279.844482422	1	2017-11-01	18	2t
-1.0	0	0	273.887695312	273.419067383	272.950439453	2	2017-11-01	6	2t
-1.0	0	6	285.364501953	280.100016276	272.950439453	2	2017-11-01	12	2t
-1.0	0	6	285.364501953	280.73828125	272.950439453	2	2017-11-01	18	2t
-1.0	0	12	285.364501953	282.918619792	279.900634766	2	2017-11-01	18	2t
-1.0	0	0	272.288574219	272.169311523	272.050048828	3	2017-11-01	6	2t
-1.0	0	6	282.41015625	278.161865234	272.050048828	3	2017-11-01	12	2t
-1.0	0	6	282.41015625	278.460253906	272.050048828	3	2017-11-01	18	2t
-1.0	0	12	282.41015625	280.075276693	276.807373047	3	2017-11-01	18	2t
-1.0	0	0	276.40234375	275.820922852	275.239501953	4	2017-11-01	6	2t
-1.0	0	6	285.604980469	280.76163737	275.239501953	4	2017-11-01	12	2t
-1.0	0	6	285.604980469	281.522460938	275.239501953	4	2017-11-01	18	2t
-1.0	0	12	285.604980469	283.644124349	281.225585938	4	2017-11-01	18	2t
-1.0	0	0	277.453125	275.721313477	273.989501953	5	2017-11-01	6	2t
-1.0	0	6	285.4609375	280.434244792	273.989501953	5	2017-11-01	12	2t
-1.0	0	6	285.4609375	281.441210937	273.989501953	5	2017-11-01	18	2t
-1.0	0	12	285.4609375	283.788085938	282.4453125	5	2017-11-01	18	2t
-1.0	0	0	277.500976562	277.259643555	277.018310547	6	2017-11-01	6	2t
-1.0	0	6	282.611572266	279.962890625	277.018310547	6	2017-11-01	12	2t
-1.0	0	6	282.611572266	280.517773438	277.018310547	6	2017-11-01	18	2t
-1.0	0	12	282.611572266	281.770589193	280.138671875	6	2017-11-01	18	2t
-1.0	0	0	274.893310547	274.526000977	274.158691406	7	2017-11-01	6	2t
-1.0	0	6	284.674072266	280.249755859	274.893310547	7	2017-11-01	12	2t
-1.0	0	6	284.674072266	280.643994141	274.893310547	7	2017-11-01	18	2t
-1.0	0	12	284.674072266	282.381591797	279.688720703	7	2017-11-01	18	2t
-1.0	0	0	285.079101562	284.977905273	284.876708984	8	2017-11-01	6	2t
-1.0	0	6	289.139404297	287.451904297	284.876708984	8	2017-11-01	12	2t
-1.0	0	6	289.139404297	287.788623047	284.876708984	8	2017-11-01	18	2t
-1.0	0	12	289.139404297	288.575602214	288.285888672	8	2017-11-01	18	2t
-1.0	0	0	279.167480469	276.982788086	274.798095703	9	2017-11-01	6	2t
-1.0	0	6	285.564941406	280.472330729	274.798095703	9	2017-11-01	12	2t
-1.0	0	6	285.564941406	281.260058594	274.798095703	9	2017-11-01	18	2t
-1.0	0	12	285.564941406	283.482747396	280.979980469	9	2017-11-01	18	2t
-1.0	0	0	275.333740234	274.778686523	274.223632812	10	2017-11-01	6	2t
-1.0	0	6	286.314453125	280.998291016	275.333740234	10	2017-11-01	12	2t
-1.0	0	6	286.314453125	281.517675781	275.333740234	10	2017-11-01	18	2t
-1.0	0	12	286.314453125	283.635986328	280.321533203	10	2017-11-01	18	2t
-1.0	0	0	276.794921875	274.880737305	272.966552734	11	2017-11-01	6	2t
-1.0	0	6	284.642578125	279.492513021	272.966552734	11	2017-11-01	12	2t
-1.0	0	6	284.642578125	280.76796875	272.966552734	11	2017-11-01	18	2t
-1.0	0	12	284.642578125	283.334960938	282.094726562	11	2017-11-01	18	2t
-1.0	0	0	279.408691406	278.208374023	277.008056641	12	2017-11-01	6	2t
-1.0	0	6	285.614013672	281.642171224	277.008056641	12	2017-11-01	12	2t
-1.0	0	6	285.614013672	281.741699219	277.008056641	12	2017-11-01	18	2t
-1.0	0	12	285.614013672	283.131998698	280.154052734	12	2017-11-01	18	2t
-1.0	0	0	275.928710938	275.880737305	275.832763672	13	2017-11-01	6	2t
-1.0	0	6	284.546386719	281.152994792	275.832763672	13	2017-11-01	12	2t
-1.0	0	6	284.546386719	280.969482422	275.832763672	13	2017-11-01	18	2t
-1.0	0	12	284.546386719	281.978271484	278.986572266	13	2017-11-01	18	2t
-1.0	0	0	272.288574219	272.169311523	272.050048828	14	2017-11-01	6	2t
-1.0	0	6	282.41015625	278.161865234	272.050048828	14	2017-11-01	12	2t
-1.0	0	6	282.41015625	278.460253906	272.050048828	14	2017-11-01	18	2t
-1.0	0	12	282.41015625	280.075276693	276.807373047	14	2017-11-01	18	2t
-1.0	0	0	275.189941406	274.115844727	273.041748047	15	2017-11-01	6	2t
-1.0	0	6	280.132324219	277.452880859	273.041748047	15	2017-11-01	12	2t
-1.0	0	6	280.6171875	278.125585937	273.041748047	15	2017-11-01	18	2t
-1.0	0	12	280.6171875	279.467203776	277.652099609	15	2017-11-01	18	2t
